Source,Target,Type
1534730383,2397601188,Directed
1075011651366199296,742831365914263552,Directed
304844046,503776268,Directed
773510163709984768,4338452835,Directed
304844046,308613286,Directed
1105456136868843520,2499047479,Directed
73403072,5685812,Directed
466400265,466400265,Directed
2339161019,48707597,Directed
1011817655957893120,70736359,Directed
1138822334423412736,46721140,Directed
2474626477,4338452835,Directed
1011817655957893120,235896559,Directed
955709459065659392,1014914504314925056,Directed
710123736175783936,3867945679,Directed
1011817655957893120,14629263,Directed
1011817655957893120,28766576,Directed
741343590,4338452835,Directed
737142202481016832,1202170936721657856,Directed
2256162268,827801822,Directed
3651992175,3065972386,Directed
1121783892803899392,71684691,Directed
1524366572,894518852,Directed
3146740677,2768557727,Directed
898142425,64863875,Directed
1011817655957893120,190179815,Directed
48707597,226310002,Directed
1176852676530696192,234639036,Directed
1066962987276103680,4263007693,Directed
129218500,15821353,Directed
1949135078,2445765961,Directed
709564705304498176,17778401,Directed
93174945,1068951084,Directed
1006806146974437376,487591270,Directed
162285784,742788449493766144,Directed
1011817655957893120,340394880,Directed
60612671,3062012287,Directed
1035486425351954432,4695216853,Directed
226088003,25213966,Directed
105651575,4263007693,Directed
977700035554050048,1212465001,Directed
300298995,923513734831755264,Directed
760870811494297600,70688754,Directed
1199702907496497152,14792516,Directed
3867945679,3792290725,Directed
1121783892803899392,487119609,Directed
3386602930,2429051735,Directed
3346433337,3867945679,Directed
3867945679,2460047262,Directed
1011817655957893120,796673420331249664,Directed
1174982905728249856,1260514195,Directed
1011817655957893120,2768557727,Directed
92026573,48707597,Directed
185571406,108899342,Directed
930871517860319232,15821353,Directed
1011817655957893120,16741059,Directed
1554287316,2973406683,Directed
757023353253224448,4338452835,Directed
3307397045,3065972386,Directed
768441346017361920,974140999118319616,Directed
744776302591303680,3062012287,Directed
3324037438,27596259,Directed
933029151983861760,1614958730,Directed
75958753,273781698,Directed
316481450,2330223926,Directed
179235678,2344530218,Directed
95233492,235261861,Directed
826097054342594560,2344530218,Directed
1205152848,1205152848,Directed
2895746039,4338452835,Directed
1011817655957893120,18068926,Directed
1011817655957893120,1011817655957893120,Directed
1265287416,1241814552,Directed
1199955247315275776,4759319375,Directed
2186540377,802693359382843392,Directed
2773863188,960947423320326144,Directed
161182490,165457545,Directed
137349966,382393,Directed
54091564,57903417,Directed
488000929,128042269,Directed
3266733445,25213966,Directed
183245102,15754281,Directed
125137988,235261861,Directed
763416357710991360,2242987496,Directed
53594876,25213966,Directed
842956176958476288,2768557727,Directed
1075011651366199296,2365729350,Directed
1049311101136117760,22037917,Directed
1011817655957893120,63039586,Directed
4193801125,2446432153,Directed
4296736815,344256434,Directed
1127829883013361664,827801822,Directed
1525478358,2476114508,Directed
94667885,746416185168760832,Directed
3651992175,3867945679,Directed
280350318,889430994,Directed
253412938,844327366239379456,Directed
1060213620397637632,69133574,Directed
1075011651366199296,865939268623097856,Directed
938494633478443008,235261861,Directed
1823987821,786048823340576768,Directed
1045824261670281216,788898706586275840,Directed
3046338747,1148456420918157312,Directed
1038551897634787328,1029872831817904128,Directed
1190726565073522688,3065972386,Directed
862314906544218112,503776268,Directed
3357277319,2369530147,Directed
1011817655957893120,12306,Directed
1011817655957893120,2762530572,Directed
1011817655957893120,3433899562,Directed
1958816220,1014914504314925056,Directed
1011817655957893120,877505198956187648,Directed
877505198956187648,1162144434559037440,Directed
1208460997167472640,342250615,Directed
2800130574,128042269,Directed
930871517860319232,48707597,Directed
190179815,34677653,Directed
18129188,112961086,Directed
310897418,788898706586275840,Directed
333011425,2344530218,Directed
1113174766490447872,2464731932,Directed
1265287416,770943875968098304,Directed
54091564,207166307,Directed
1004264402122616832,235261861,Directed
1038551897634787328,274034881,Directed
1063506283830095872,25213966,Directed
1158028952729989120,3030511365,Directed
1011817655957893120,992420980374016000,Directed
1210676077468823552,1679260675,Directed
1011817655957893120,1212465001,Directed
1049311101136117760,423847851,Directed
2776752385,1132243872,Directed
930871517860319232,534563976,Directed
964849526174617600,1175299088,Directed
